14/10/23 05:15:54 0000 s 01884ver01 44.882510 8.859902 00 00
14/10/23 05:29:13 0000 s 01884ver01 44.882558 8.859838 00 00
14/10/23 05:48:38 0001 1                  44.971282 8.882355 00 00 300ED89F33500086844FC3AB            
14/10/23 06:51:04 0116 1                  44.978988 8.885103 00 00 181152308300031550155271            
14/10/23 06:51:21 0117 1                  44.978673 8.884865 00 00 323030323545303036373835            
14/10/23 06:51:26 0118 1                  44.978657 8.884835 00 00 323030323545303038363133            
14/10/23 06:51:35 0119 1                  44.978623 8.884812 00 00 323030323545303036373538            
14/10/23 06:52:13 0120 1                  44.978608 8.884538 00 00 323030323545303036323136            
14/10/23 06:52:23 0121 1                  44.978627 8.884508 00 00 323030323545303036333432            
14/10/23 06:52:39 0122 1                  44.978618 8.884498 00 00 323030323545303035393236            
14/10/23 06:53:26 0123 1                  44.978887 8.884277 00 00 323030323545303032393531            
14/10/23 06:53:31 0124 1                  44.978900 8.884282 00 00 323030323545303030353934            
14/10/23 06:53:36 0125 1                  44.978913 8.884287 00 00 323030323545303038363135            
14/10/23 06:54:04 0126 1                  44.979053 8.884357 00 00 323030323545303035393539            
14/10/23 06:54:26 0127 1                  44.979247 8.884278 00 00 323030323545303036373031            
14/10/23 06:54:35 0128 1                  44.979273 8.884257 00 00 323030323545303035393536            
14/10/23 06:55:58 0129 1                  44.978607 8.884207 00 00 323030323545303036363135            
14/10/23 06:56:03 0130 1                  44.978593 8.884182 00 00 323030323545303036373831            
14/10/23 06:56:06 0131 1                  44.978590 8.884175 00 00 323030323545303036373837            
14/10/23 06:56:59 0132 1                  44.978482 8.883450 00 00 323030323545303036363132            
14/10/23 06:57:18 0133 1                  44.978435 8.883437 00 00 323030323545303034323138            
14/10/23 06:59:30 0134 1                  44.978395 8.882913 00 00 323030323545303030353233            
14/10/23 06:59:37 0135 1                  44.978392 8.882882 00 00 323030323545303032343538            
14/10/23 06:59:42 0136 1                  44.978387 8.882872 00 00 323030323545303036373134            
14/10/23 07:00:12 0137 1                  44.978373 8.882665 00 00 323031323055303030323438            
14/10/23 07:00:22 0138 1                  44.978377 8.882668 00 00 323030323545303036373135            
14/10/23 07:00:28 0139 1                  44.978373 8.882672 00 00 323030323545303030393137            
14/10/23 07:00:55 0140 1                  44.978350 8.882422 00 00 3232303032334D3031313937            
14/10/23 07:05:11 0141 1                  44.982255 8.880963 00 00 323031323055303030323535            
14/10/23 07:06:57 0142 1                  44.982205 8.881733 00 00 3231303032334D3032363235            
14/10/23 07:07:01 0143 1                  44.982173 8.881735 00 00 323030323545303033353037            
14/10/23 07:07:30 0144 1                  44.982107 8.882092 00 00 323030323545303033353539            
14/10/23 07:07:36 0145 1                  44.982098 8.882127 00 00 323030323545303033353437            
14/10/23 07:08:11 0146 1                  44.982083 8.882280 00 00 323030323545303033353433            
14/10/23 07:08:19 0147 1                  44.982075 8.882272 00 00 323030323545303037383132            
14/10/23 07:08:33 0148 1                  44.982048 8.882363 00 00 323030323545303033353536            
14/10/23 07:08:45 0149 1                  44.982005 8.882448 00 00 323030323545303033343833            
14/10/23 07:08:47 0150 1                  44.981998 8.882455 00 00 323030323545303033343835            
14/10/23 07:09:00 0151 1                  44.981990 8.882472 00 00 323030323545303033343730            
14/10/23 07:09:51 0152 1                  44.981845 8.883252 00 00 323030323545303033353535            
14/10/23 07:10:19 0153 1                  44.981888 8.883387 00 00 323030323545303033353137            
14/10/23 07:10:46 0154 1                  44.981935 8.883493 00 00 323030323545303038363932            
14/10/23 07:10:53 0155 1                  44.981932 8.883513 00 00 323030323545303033353234            
14/10/23 07:11:03 0156 1                  44.981932 8.883545 00 00 323030323545303033353138            
14/10/23 07:11:34 0157 1                  44.981998 8.883933 00 00 323030323545303033343830            
14/10/23 07:11:40 0158 1                  44.981998 8.883952 00 00 323030323545303033303737            
14/10/23 07:12:20 0159 1                  44.982043 8.884183 00 00 323030323545303037333838            
14/10/23 07:12:43 0160 1                  44.982047 8.884373 00 00 323030323545303036343330            
