14/10/23 05:32:25 0000 s 01486ver01 44.882552 8.859767 00 00
14/10/23 07:10:37 0187 1                  44.981355 8.885475 00 00 323030323545303035383830            
14/10/23 07:10:59 0188 1                  44.981573 8.885480 00 00 3231303032334D3035333038            
14/10/23 07:11:03 0189 1                  44.981575 8.885475 00 00 323030323545303035383735            
14/10/23 07:11:12 0190 1                  44.981580 8.885445 00 00 323030323545303035383736            
14/10/23 07:11:58 0191 1                  44.981850 8.886147 00 00 323030323545303036353431            
14/10/23 07:12:01 0192 1                  44.981850 8.886157 00 00 323030323545303036353430            
14/10/23 07:12:26 0193 1                  44.981827 8.886692 00 00 323030323545303036353433            
14/10/23 07:13:34 0194 1                  44.982088 8.887357 00 00 323032343055303030353434            
14/10/23 07:14:30 0195 1                  44.981750 8.887420 00 00 323030323545303036343133            
14/10/23 07:14:40 0196 1                  44.981772 8.887462 00 00 323030323545303036353630            
14/10/23 07:15:04 0197 1                  44.981668 8.888045 00 00 323030323545303036343039            
14/10/23 07:17:00 0198 1                  44.982135 8.893892 00 00 3233303032334D3030333834            
14/10/23 07:17:15 0199 1                  44.982173 8.893740 00 00 323030323545303036343132            
14/10/23 07:18:39 0200 1                  44.981515 8.888025 00 00 323030323545303036353539            
14/10/23 07:19:00 0201 1                  44.981100 8.887907 00 00 323030323545303032393337            
14/10/23 07:19:43 0202 1                  44.980645 8.888223 00 00 323030323545303036343930            
14/10/23 07:19:51 0203 1                  44.980642 8.888165 00 00 323030323545303035383335            
14/10/23 07:20:45 0204 1                  44.981648 8.887190 00 00 323030323545303035383034            
14/10/23 07:21:06 0205 1                  44.981122 8.887058 00 00 323030323545303035373632            
14/10/23 07:21:29 0206 1                  44.980355 8.886793 00 00 323030323545303036313038            
14/10/23 07:22:15 0207 1                  44.979943 8.887282 00 00 323030323545303036343739            
14/10/23 07:22:29 0208 1                  44.979963 8.887108 00 00 323030323545303036343131            
14/10/23 07:23:11 0209 1                  44.979672 8.886670 00 00 323030323545303035373931            
14/10/23 07:23:25 0210 1                  44.979522 8.886628 00 00 323030323545303032333230            
14/10/23 07:23:39 0211 1                  44.979430 8.886603 00 00 323030323545303032393538            
14/10/23 07:23:42 0212 1                  44.979422 8.886603 00 00 3232303032334D3030353236            
14/10/23 07:23:47 0213 1                  44.979417 8.886602 00 00 3232303032334D3030353935            
14/10/23 07:23:50 0214 1                  44.979417 8.886600 00 00 3232303032334D3031313737            
14/10/23 07:23:54 0215 1                  44.979415 8.886600 00 00 323030323545303030303935            
14/10/23 07:23:58 0216 1                  44.979417 8.886598 00 00 323030323545303032393736            
14/10/23 07:27:07 0217 1                  44.983505 8.886462 00 00 323030323545303036343935            
14/10/23 07:28:25 0218 1                  44.984317 8.885368 00 00 323030323545303036303133            
14/10/23 07:29:35 0219 1                  44.982783 8.885553 00 00 323030323545303036343735            
14/10/23 07:29:53 0220 1                  44.982635 8.885510 00 00 323030323545303036343736            
14/10/23 07:30:17 0221 1                  44.982540 8.885340 00 00 323030323545303036343632            
14/10/23 07:30:39 0222 1                  44.982670 8.885160 00 00 323030323545303032323838            
14/10/23 07:30:43 0223 1                  44.982675 8.885158 00 00 323030323545303033303933            
14/10/23 07:30:49 0224 1                  44.982678 8.885148 00 00 323030323545303033303935            
14/10/23 07:31:16 0225 1                  44.982823 8.884993 00 00 323030323545303036343435            
14/10/23 07:31:16 0226 1                  44.982823 8.884993 00 00 3232303032334D3031393439            
14/10/23 07:31:46 0227 1                  44.983082 8.884570 00 00 323030323545303036343738            
14/10/23 07:31:46 0228 1                  44.983082 8.884570 00 00 323030323545303030343636            
14/10/23 07:32:06 0229 1                  44.983165 8.884470 00 00 323030323545303036343436            
14/10/23 07:32:35 0230 1                  44.983307 8.884235 00 00 323030323545303033353039            
14/10/23 07:32:59 0231 1                  44.983750 8.883573 00 00 323030323545303036343234            
14/10/23 07:33:20 0232 1                  44.984200 8.882987 00 00 3231303032334D3031393232            
14/10/23 07:33:37 0233 1                  44.984372 8.882722 00 00 3232303032334D3031313830            
14/10/23 07:33:55 0234 1                  44.984497 8.882603 00 00 323030323545303036353139            
14/10/23 07:34:20 0235 1                  44.985095 8.882357 00 00 323030323545303036353230            
14/10/23 07:34:44 0236 1                  44.985725 8.882120 00 00 323030323545303036343432            
14/10/23 07:35:27 0237 1                  44.986383 8.881642 00 00 323032343055303030353234            
14/10/23 07:36:32 0238 1                  44.987175 8.881465 00 00 323030323545303032323839            
14/10/23 07:37:29 0239 1                  44.990260 8.882418 00 00 323030323545303038363134            
14/10/23 07:38:12 0240 1                  44.991625 8.882802 00 00 323030323545303033313339            
14/10/23 07:39:32 0241 1                  44.991840 8.882658 00 00 323030323545303032333333            
14/10/23 07:40:17 0242 1                  44.990538 8.882253 00 00 323030323545303032333239            
14/10/23 07:41:38 0243 1                  44.986610 8.880987 00 00 323030323545303036333433            
14/10/23 07:44:33 0244 1                  44.986385 8.880033 00 00 323030323545303036343238            
14/10/23 07:44:36 0245 1                  44.986382 8.880037 00 00 323030323545303032333235            
14/10/23 07:45:00 0246 1                  44.986010 8.879937 00 00 323030323545303033313337            
14/10/23 07:45:09 0247 1                  44.985988 8.879845 00 00 323030323545303033373135            
14/10/23 07:45:25 0248 1                  44.985763 8.879580 00 00 323030323545303033313230            
14/10/23 07:45:44 0249 1                  44.985672 8.879420 00 00 323030323545303039303330            
14/10/23 07:46:09 0250 1                  44.985445 8.879260 00 00 323030323545303033313331            
14/10/23 07:46:29 0251 1                  44.985150 8.878945 00 00 323030323545303033303039            
14/10/23 07:46:46 0252 1                  44.984957 8.878812 00 00 323030323545303032323539            
14/10/23 07:47:00 0253 1                  44.984938 8.878810 00 00 323030323545303032313636            
14/10/23 07:47:33 0254 1                  44.984673 8.878630 00 00 323030323545303033313131            
14/10/23 07:47:34 0255 1                  44.984673 8.878630 00 00 323030323545303033313039            
14/10/23 07:47:44 0256 1                  44.984625 8.878588 00 00 323030323545303033313036            
14/10/23 07:48:04 0257 1                  44.984683 8.878205 00 00 3231303032334D3030343139            
14/10/23 07:48:18 0258 1                  44.984748 8.878002 00 00 323030323545303032313333            
14/10/23 07:48:37 0259 1                  44.984918 8.878125 00 00 3232303032334D3030363036            
14/10/23 07:48:58 0260 1                  44.985213 8.878403 00 00 323030323545303036353033            
14/10/23 07:49:08 0261 1                  44.985217 8.878410 00 00 323030323545303032323939            
14/10/23 07:49:30 0262 1                  44.985480 8.878457 00 00 323030323545303036343939            
14/10/23 07:51:13 0263 1                  44.985645 8.878670 00 00 3232303032334D3030353834            
14/10/23 07:51:23 0264 1                  44.985715 8.878768 00 00 323030323545303036353034            
14/10/23 07:51:53 0265 1                  44.985853 8.878880 00 00 323030323545303036343931            
14/10/23 07:52:06 0266 1                  44.985925 8.878955 00 00 323030323545303036353734            
14/10/23 07:52:32 0267 1                  44.986092 8.879142 00 00 323030323545303030353833            
14/10/23 07:52:43 0268 1                  44.986105 8.879153 00 00 323030323545303037323738            
14/10/23 07:52:57 0269 1                  44.986260 8.879268 00 00 323030323545303036343531            
14/10/23 07:53:02 0270 1                  44.986258 8.879265 00 00 323030323545303036353436            
14/10/23 07:53:24 0271 1                  44.986407 8.879377 00 00 323030323545303032313931            
14/10/23 07:53:35 0272 1                  44.986415 8.879390 00 00 323030323545303032313930            
14/10/23 07:53:44 0273 1                  44.986418 8.879398 00 00 323030323545303033303035            
14/10/23 07:53:47 0274 1                  44.986417 8.879405 00 00 323030323545303036353437            
14/10/23 07:54:12 0275 1                  44.986555 8.879550 00 00 323030323545303036343938            
14/10/23 07:54:16 0276 1                  44.986555 8.879545 00 00 323030323545303032313932            
14/10/23 07:54:34 0277 1                  44.986688 8.879597 00 00 323030323545303036353435            
14/10/23 07:56:22 0278 1                  44.984672 8.878418 00 00 323030323545303030353631            
14/10/23 07:56:30 0279 1                  44.984567 8.878352 00 00 323030323545303032323432            
14/10/23 07:57:26 0280 1                  44.984443 8.877435 00 00 323030323545303032323531            
14/10/23 07:57:34 0281 1                  44.984483 8.877388 00 00 323030323545303032313637            
14/10/23 07:57:47 0282 1                  44.984455 8.877505 00 00 323030323545303032323237            
14/10/23 07:58:07 0283 1                  44.984392 8.877910 00 00 323030323545303037383439            
14/10/23 07:58:31 0284 1                  44.984115 8.878155 00 00 323030323545303036343038            
14/10/23 07:58:58 0285 1                  44.983958 8.878013 00 00 323030323545303032323234            
14/10/23 07:59:08 0286 1                  44.983892 8.877958 00 00 323030323545303032323632            
14/10/23 07:59:27 0287 1                  44.983593 8.877633 00 00 323030323545303032323236            
14/10/23 07:59:54 0288 1                  44.983282 8.876693 00 00 3231303032334D3034373033            
14/10/23 08:00:06 0289 1                  44.983367 8.876462 00 00 323030323545303038393835            
14/10/23 08:00:42 0290 1                  44.983002 8.876825 00 00 3232303032334D3031333732            
14/10/23 08:01:24 0291 1                  44.982592 8.876317 00 00 3231303032334D3030393032            
14/10/23 08:01:27 0292 1                  44.982593 8.876318 00 00 323030323545303030353337            
14/10/23 08:01:31 0293 1                  44.982588 8.876317 00 00 3232303032334D3030393233            
14/10/23 08:33:07 0000 s 01486ver01 44.982267 8.874892 00 00
14/10/23 08:34:58 0294 1                  44.979600 8.875868 00 00 3231303032334D3032323632            
14/10/23 08:35:12 0295 1                  44.979567 8.876103 00 00 323030323545303030323038            
14/10/23 08:35:27 0296 1                  44.979522 8.876287 00 00 323030323545303032313534            
14/10/23 08:35:46 0297 1                  44.979370 8.876730 00 00 323030323545303032323033            
14/10/23 08:36:13 0298 1                  44.979608 8.877173 00 00 323030323545303038393531            
14/10/23 08:36:31 0299 1                  44.979772 8.877348 00 00 323030323545303036303236            
14/10/23 08:36:48 0300 1                  44.979937 8.877457 00 00 323030323545303036313035            
14/10/23 08:36:52 0301 1                  44.979945 8.877453 00 00 323030323545303036313034            
14/10/23 08:37:17 0302 1                  44.980287 8.877660 00 00 323030323545303035393733            
14/10/23 08:37:22 0303 1                  44.980287 8.877667 00 00 323030323545303030363030            
14/10/23 08:38:00 0304 1                  44.980890 8.877085 00 00 323030323545303036303234            
14/10/23 08:38:20 0305 1                  44.980610 8.876818 00 00 323030323545303036303835            
14/10/23 08:38:52 0306 1                  44.980310 8.876602 00 00 323030323545303030353431            
14/10/23 08:38:53 0307 1                  44.980308 8.876598 00 00 323030323545303030353432            
14/10/23 08:38:54 0308 1                  44.980308 8.876598 00 00 323030323545303030353430            
14/10/23 08:38:55 0309 1                  44.980303 8.876597 00 00 323030323545303030343732            
14/10/23 08:38:58 0310 1                  44.980302 8.876590 00 00 323030323545303030343734            
14/10/23 08:39:28 0311 1                  44.980165 8.876520 00 00 323030323545303032383035            
14/10/23 08:39:32 0312 1                  44.980163 8.876510 00 00 323030323545303032333739            
14/10/23 08:39:39 0313 1                  44.980167 8.876495 00 00 323030323545303038303635            
