20/10/23 05:19:17 0000 s 01505ver01 44.792857 8.739428 00 00
20/10/23 05:19:19 0000 s 01505ver01 44.792857 8.739428 00 00
20/10/23 05:40:27 0001 9                  44.766327 8.832388 00 00 
20/10/23 10:06:59 0125 9                  44.775300 8.760600 00 00 31383234304A303030313332            
20/10/23 10:07:01 0126 9                  44.775465 8.760208 00 00 31383234304A303030313332            
20/10/23 10:07:02 0127 9                  44.775665 8.759890 00 00 31383234304A303030313332            
20/10/23 10:07:06 0128 9                  44.776178 8.759408 00 00 31383234304A303030313332            
20/10/23 10:07:07 0129 9                  44.776178 8.759408 00 00 31383234304A303030313332            
20/10/23 10:08:25 0130 9                  44.782483 8.750238 00 00 31383234304A303030313332            
20/10/23 10:08:26 0131 9                  44.782483 8.750238 00 00 31383234304A303030313332            
20/10/23 10:11:55 0132 9                  44.792848 8.739472 00 00 31383234304A303030313332            
20/10/23 10:11:58 0133 9                  44.792850 8.739467 00 00 31383234304A303030313332            
20/10/23 10:11:58 0000 s 01505ver01 44.792850 8.739467 00 00
20/10/23 10:15:21 0134 9                  44.792887 8.739412 00 00 31383234304A303030313332            
20/10/23 11:07:03 0135 9                  44.792863 8.739398 00 00 31383234304A303030313332            
20/10/23 11:07:03 0000 s 01505ver01 44.792863 8.739398 00 00
20/10/23 11:07:07 0136 9                  44.792863 8.739398 00 00 31383234304A303030313332            
20/10/23 11:07:09 0137 9                  44.792863 8.739398 00 00 31383234304A303030313332            
20/10/23 11:07:09 0000 s 01505ver01 44.792863 8.739398 00 00
20/10/23 11:12:20 0138 9                  44.792642 8.739652 00 00 31383234304A303030313332            
20/10/23 11:12:27 0139 9                  44.792558 8.739817 00 00 31383234304A303030313332            
20/10/23 11:12:32 0140 9                  44.792505 8.739847 00 00 31383234304A303030313332            
20/10/23 11:12:33 0141 9                  44.792468 8.739833 00 00 31383234304A303030313332            
20/10/23 11:12:35 0142 9                  44.792450 8.739825 00 00 31383234304A303030313332            
20/10/23 11:13:44 0143 9                  44.792365 8.740070 00 00 31383234304A303030313332            
