22/07/25 07:34:41 0000 s 00478ver01 44.732737 8.733298 pp 01
22/07/25 07:35:33 0155 1                  44.719678 8.732546 pp 01 31383032334d303031353934            
22/07/25 07:35:40 0156 1                  44.719678 8.732546 pp 01 31383132304a303230353737            
22/07/25 07:35:41 0157 1                  44.719678 8.732546 pp 01 31383132304a303235303530            
22/07/25 07:35:42 0158 1                  44.719678 8.732546 pp 01 31383132304a303235333530            
22/07/25 07:35:43 0159 1                  44.719678 8.732546 pp 01 31383132304a303234393835            
22/07/25 07:35:44 0160 1                  44.719678 8.732546 pp 01 31383132304a303235323033            
22/07/25 07:36:38 0162 1                  44.719678 8.732546 pp 01 313931323050303036383036            
22/07/25 07:37:55 0163 1                  44.719678 8.732546 pp 01 31383032334d303031323537            
22/07/25 07:37:56 0164 1                  44.719678 8.732546 pp 01 313931323050303036383036            
22/07/25 07:37:58 0165 1                  44.719678 8.732546 pp 01 31383132304a303233383636            
22/07/25 07:37:59 0166 1                  44.719678 8.732546 pp 01 31383032334d303133393632            
22/07/25 07:38:13 0167 1                  44.719678 8.732546 pp 01 31383132304a303234363236            
22/07/25 07:39:12 0168 1                  44.719678 8.732546 pp 01 31383132304a303234363236            
22/07/25 07:39:13 0169 1                  44.719678 8.732546 pp 01 3234303032334d3031373038            
22/07/25 07:40:52 0171 1                  44.719678 8.732546 pp 01 31383032334d303031353031            
22/07/25 07:41:35 0172 1                  44.719678 8.732546 pp 01 31383132304a303235303938            
22/07/25 07:51:05 0000 s 00478ver01 44.766653 8.703240 pp 01
22/07/25 07:51:30 0000 s 00478ver01 44.766690 8.703240 pp 01
22/07/25 08:05:57 0177 1                  0 0 pp 01 31383032334d303031353239            
22/07/25 08:05:58 0178 1                  0 0 pp 01 31383132304a303235333732            
22/07/25 08:07:29 0180 1                  0 0 pp 01 31383132304a303234383836            
22/07/25 08:08:54 0182 1                  0 0 pp 01 31383132304a303235333438            
22/07/25 08:09:23 0184 1                  0 0 pp 01 31383132304a303235323632            
22/07/25 08:09:50 0185 1                  0 0 pp 01 31383132304a303235323632            
22/07/25 08:10:47 0187 1                  0 0 pp 01 31383132304a303235313839            
22/07/25 08:11:08 0000 s 00478ver01 44.736605 8.730465 pp 01
22/07/25 08:12:54 0189 1                  0 0 pp 01 31383132304a303235333733            
22/07/25 08:13:18 0190 1                  0 0 pp 01 31383132304a303235333733            
22/07/25 08:13:50 0192 1                  0 0 pp 01 31383132304a303236383934            
22/07/25 08:14:03 0000 s 00478ver01 44.735505 8.731487 pp 01
22/07/25 08:14:45 0193 1                  0 0 pp 01 31383132304a303236383934            
22/07/25 08:15:40 0195 1                  0 0 pp 01 31383132304a303235343637            
22/07/25 08:16:33 0197 1                  44.734259 8.732250 pp 01 31383132304a303234393831            
22/07/25 08:16:55 0198 1                  44.734088 8.732282 pp 01 31383132304a303234393831            
22/07/25 08:26:55 0000 s 00478ver01 44.732918 8.734140 pp 01
22/07/25 08:31:16 0204 1                  44.733984 8.731953 pp 01 31383132304a303235333734            
22/07/25 08:31:50 0205 1                  44.734020 8.731873 pp 01 3234303032334d3032323734            
22/07/25 08:31:51 0206 1                  44.734026 8.731850 pp 01 31383132304a303235333636            
22/07/25 08:31:51 0207 1                  44.734026 8.731850 pp 01 31383132304a303235333734            
22/07/25 08:31:57 0208 1                  44.734040 8.731888 pp 01 31383132304a303235313835            
22/07/25 08:33:22 0210 1                  44.734052 8.730555 pp 01 31383032334d303031323536            
22/07/25 08:33:26 0211 1                  44.734052 8.730581 pp 01 31383132304a303235343638            
22/07/25 08:34:02 0212 1                  44.734027 8.730551 pp 01 31383132304a303235343638            
22/07/25 08:36:33 0214 1                  44.730859 8.730460 pp 01 3233303234304a3030353133            
22/07/25 08:39:08 0000 s 00478ver01 44.733990 8.731323 pp 01
22/07/25 08:39:50 0216 1                  44.733937 8.731193 pp 01 31383132304a303235313834            
22/07/25 08:42:50 0218 1                  44.735601 8.732521 pp 01 31383132304a303235313939            
22/07/25 08:42:51 0219 1                  44.735606 8.732520 pp 01 31383132304a303235313939            
22/07/25 08:45:17 0221 1                  44.736014 8.731654 pp 01 3234303234304a3030333734            
22/07/25 08:45:24 0222 1                  44.735978 8.731677 pp 01 3234303234304a3030333734            
22/07/25 08:46:13 0225 1                  44.735935 8.731144 pp 01 31383132304a303235313933            
22/07/25 08:46:42 0226 1                  44.735935 8.731144 pp 01 31383132304a303235313930            
22/07/25 08:46:43 0227 1                  44.735935 8.731144 pp 01 31383132304a303235313933            
22/07/25 08:47:20 0229 1                  44.736300 8.731228 pp 01 31383132304a303235313139            
22/07/25 08:47:34 0230 1                  44.736339 8.731144 pp 01 31383132304a303235313138            
22/07/25 08:47:50 0000 s 00478ver01 44.736395 8.731205 pp 01
22/07/25 08:48:39 0231 1                  44.736326 8.731161 pp 01 31383132304a303235313139            
22/07/25 08:48:41 0232 1                  44.736326 8.731162 pp 01 31383132304a303235313138            
22/07/25 08:49:24 0234 1                  44.736893 8.731510 pp 01 31383132304a303234363333            
22/07/25 08:49:49 0235 1                  44.736812 8.731492 pp 01 31383132304a303234363333            
22/07/25 08:50:45 0237 1                  44.737001 8.731726 pp 01 31383132304a303234363334            
22/07/25 08:50:46 0238 1                  44.737001 8.731726 pp 01 31383132304a303234363332            
22/07/25 08:51:58 0239 1                  44.736952 8.731627 pp 01 31383132306a303234333439            
22/07/25 08:51:59 0240 1                  44.736952 8.731627 pp 01 31383132304a303235333634            
22/07/25 08:52:00 0241 1                  44.736952 8.731627 pp 01 31383132304a303234363334            
22/07/25 08:52:01 0242 1                  44.736952 8.731627 pp 01 31383132304a303234363332            
22/07/25 08:52:54 0244 1                  44.736636 8.731376 pp 01 31383132304a303232363230            
22/07/25 08:53:21 0245 1                  44.736661 8.731341 pp 01 31383132304a303232363230            
