01/03/25 05:27:32 0000 s 01489ver01 44.882468 8.860200 00 00
01/03/25 05:27:34 0000 s 01489ver01 44.882468 8.860200 00 00
01/03/25 05:27:50 0001 1                  0 0 00 00 3233303234304A3030393836            
01/03/25 06:25:29 0059 1                  44.980907 8.880167 00 00 323030323545303033333937            
01/03/25 06:26:43 0060 1                  44.981223 8.881222 00 00 323030323545303033343136            
01/03/25 06:28:30 0061 1                  44.981468 8.880912 00 00 323032343055303030353832            
01/03/25 06:29:13 0062 1                  44.981595 8.881062 00 00 100100000001242610000026            
01/03/25 06:29:48 0063 1                  44.981675 8.881073 00 00 323030323545303034323137            
01/03/25 06:29:54 0064 1                  44.981682 8.881068 00 00 323030323545303034323136            
01/03/25 06:30:04 0065 1                  44.981688 8.881057 00 00 3234303032334D3030303536            
01/03/25 06:30:10 0066 1                  44.981702 8.881052 00 00 323031323055303030333231            
01/03/25 06:31:28 0067 1                  44.981778 8.880880 00 00 323030323545303035373131            
01/03/25 06:31:41 0068 1                  44.981722 8.880855 00 00 3234303032334D3032313038            
01/03/25 06:32:10 0069 1                  44.981623 8.880828 00 00 3231303032334D3030363732            
01/03/25 06:32:20 0070 1                  44.981612 8.880848 00 00 323031323055303030323739            
01/03/25 06:33:22 0071 1                  44.981768 8.880598 00 00 323030323545303035363630            
01/03/25 06:34:30 0072 1                  44.981977 8.880035 00 00 3232303032334D3031333631            
01/03/25 06:34:34 0073 1                  44.981967 8.880017 00 00 323030323545303036323737            
01/03/25 06:34:48 0074 1                  44.981947 8.879972 00 00 323030323545303038303037            
01/03/25 06:35:12 0075 1                  44.981977 8.879548 00 00 323030323545303036333838            
01/03/25 06:35:38 0076 1                  44.982037 8.879118 00 00 323030323545303036323736            
01/03/25 06:36:17 0077 1                  44.982025 8.878720 00 00 323030323545303030343832            
01/03/25 06:36:33 0078 1                  44.982003 8.878717 00 00 323030323545303030343831            
01/03/25 06:37:14 0079 1                  44.981920 8.878602 00 00 3231303032334D3031363438            
01/03/25 06:37:51 0080 1                  44.981770 8.878487 00 00 323030323545303036323633            
01/03/25 06:38:17 0081 1                  44.981605 8.878423 00 00 323030323545303037333837            
01/03/25 06:38:22 0082 1                  44.981593 8.878413 00 00 323030323545303036323239            
01/03/25 06:38:38 0083 1                  44.981587 8.878395 00 00 323030323545303032333437            
01/03/25 06:39:17 0084 1                  44.981432 8.878293 00 00 C30C30C30C30C30C30C30C30            
01/03/25 06:39:24 0085 1                  44.981332 8.878397 00 00 323030323545303037333430            
01/03/25 06:39:35 0086 1                  44.981215 8.879188 00 00 25705569A686CF64B1C34DB9            
01/03/25 06:39:38 0087 1                  44.981205 8.879315 00 00 313832444C32573135303033            
01/03/25 06:40:11 0088 1                  44.981348 8.879923 00 00 323030323545303036333233            
01/03/25 06:41:05 0089 1                  44.981342 8.880282 00 00 323030323545303036333234            
01/03/25 06:41:44 0090 1                  44.981407 8.880042 00 00 323030323545303032383330            
01/03/25 06:41:58 0091 1                  44.981457 8.880038 00 00 323030323545303035373235            
01/03/25 06:42:36 0092 1                  44.981422 8.879892 00 00 3234303032334D3032303632            
01/03/25 06:43:22 0093 1                  44.981957 8.878888 00 00 3232303032334D3031343435            
01/03/25 06:43:44 0094 1                  44.982108 8.878622 00 00 323030323545303036323739            
01/03/25 06:44:29 0095 1                  44.982227 8.878618 00 00 323031323055303030313830            
