17/06/25 04:58:51 0000 s 01428ver01 0 0 pp 01
17/06/25 14:39:01 0146 1                  44.758758 8.767333 pp 01 3231313130304A3031333932            
17/06/25 14:41:04 0147 1                  44.758622 8.768087 pp 01 313931323050303034353532            
17/06/25 14:41:07 0148 1                  44.758620 8.768088 pp 01 3035EBB32026EF480004018E            
17/06/25 14:41:26 0149 1                  44.758597 8.768115 pp 01 313931323050303034353533            
17/06/25 14:42:36 0150 1                  44.758495 8.768155 pp 01 3230313130304A3031313236            
17/06/25 14:43:49 0151 1                  44.758375 8.768123 pp 01 313931323050303034353439            
17/06/25 14:44:51 0152 1                  44.758388 8.768065 pp 01 3230313130304A3031303936            
17/06/25 14:45:03 0153 1                  44.758388 8.768060 pp 01 30396062436F8640001B937E            
17/06/25 14:47:57 0154 1                  44.759195 8.769507 pp 01 313931323050303033333539            
17/06/25 14:47:59 0155 1                  44.759203 8.769508 pp 01 313931323050303131393230            
17/06/25 14:48:23 0156 1                  44.759218 8.769412 pp 01 313931323050303033333633            
17/06/25 14:48:24 0157 1                  44.759215 8.769403 pp 01 313931323050303033333632            
17/06/25 14:48:59 0158 1                  44.759223 8.769437 pp 01 3230313130304A3031313131            
17/06/25 14:50:18 0159 1                  44.759427 8.769597 pp 01 303AC8E9C05C1AE0B3E18C0A            
17/06/25 14:50:43 0160 1                  44.759540 8.769650 pp 01 3230313130304A3031313337            
17/06/25 14:51:23 0161 1                  44.759567 8.769585 pp 01 3230313130304A3031313339            
17/06/25 14:53:01 0162 1                  44.758935 8.769522 pp 01 3230313130304A3031303734            
17/06/25 14:55:08 0163 1                  44.758527 8.770185 pp 01 313931323050303132343330            
17/06/25 14:56:47 0164 1                  44.758208 8.770363 pp 01 3230313130304A3031303636            
17/06/25 14:57:46 0165 1                  44.758172 8.770413 pp 01 3230313130304A3031313336            
17/06/25 14:58:26 0166 1                  44.758178 8.770490 pp 01 313931323050303132313133            
17/06/25 14:58:53 0167 1                  44.758167 8.770475 pp 01 313931323050303132313135            
17/06/25 14:59:00 0168 1                  44.758178 8.770468 pp 01 313931323050303132313134            
17/06/25 15:00:30 0169 1                  44.758528 8.769328 pp 01 3230313130304A3031313237            
17/06/25 15:00:36 0170 1                  44.758535 8.769328 pp 01 3035EBB32038F28800040535            
17/06/25 15:02:51 0171 1                  44.758263 8.769233 pp 01 303960624373F1C0000D3E2C            
17/06/25 15:03:15 0172 1                  44.758260 8.769217 pp 01 313931323050303034313137            
17/06/25 15:04:29 0173 1                  44.758045 8.769100 pp 01 313931323050303133373831            
17/06/25 15:04:42 0174 1                  44.758055 8.769113 pp 01 313931323050303132313035            
17/06/25 15:05:17 0175 1                  44.758038 8.769152 pp 01 313931323050303132313136            
17/06/25 15:07:15 0176 1                  44.759843 8.768912 pp 01 313931323050303133303032            
17/06/25 15:07:15 0177 1                  44.759843 8.768912 pp 01 313931323050303133303032            
17/06/25 15:07:24 0178 1                  44.759852 8.768887 pp 01 313931323050303038323133            
17/06/25 15:08:31 0179 1                  44.760043 8.768668 pp 01 313931323050303038313137            
17/06/25 15:08:48 0180 1                  44.760050 8.768687 pp 01 313931323050303133383933            
17/06/25 15:09:49 0181 1                  44.760168 8.768573 pp 01 3231313130304A3030363338            
17/06/25 15:18:45 0182 1                  44.766005 8.770715 pp 01 DEE0000CE98DB7413000407F            
17/06/25 15:22:18 0183 1                  44.768237 8.761955 pp 01 313931323050303132393432            
17/06/25 15:22:25 0184 1                  44.768213 8.761957 pp 01 313931323050303130393638            
17/06/25 15:24:51 0185 1                  44.769063 8.757350 pp 01 3233303132304A3030363437            
17/06/25 15:27:05 0186 1                  44.769555 8.750073 pp 01 313931323050303130373932            
17/06/25 16:35:28 0187 1                  44.912712 8.870645 pp 01 000000001375369200000000            
17/06/25 17:14:30 0188 1                  44.772910 8.789913 pp 01 111080000000002136871795            
17/06/25 17:20:14 0189 1                  44.762977 8.794685 pp 01 431252400171164500000000            
17/06/25 17:20:14 0190 1                  44.762977 8.794685 pp 01 E28011A0A50100649D3D2A21            
17/06/25 17:31:55 0000 s 01428ver01 44.762270 8.793957 pp 01
