27/01/25 10:04:49 0000 s 01491ver01 44.882253 8.859888 00 00
27/01/25 10:04:55 0000 s 01491ver01 44.882253 8.859888 00 00
27/01/25 10:05:08 0000 s 01491ver01 44.882418 8.859787 00 00
27/01/25 13:42:22 0164 1                  44.982437 8.808560 00 00 3234303234304A3030333834            
27/01/25 13:42:22 0165 1                  44.982437 8.808560 00 00 313832343045303034303135            
27/01/25 13:43:02 0166 1                  44.982425 8.808587 00 00 3234303234304A3030333833            
27/01/25 13:43:16 0167 1                  44.982455 8.808592 00 00 313931323050303130333333            
27/01/25 13:44:33 0168 1                  44.982597 8.808570 00 00 313831323045303232383134            
27/01/25 13:44:33 0169 1                  44.982597 8.808570 00 00 313831323045303139353731            
27/01/25 13:46:14 0170 1                  44.983025 8.808695 00 00 31383033304D303033393934            
27/01/25 13:46:31 0171 1                  44.983052 8.808685 00 00 313831323045303139333139            
27/01/25 13:47:05 0172 1                  44.983135 8.808692 00 00 3142040140008460E25DE280            
27/01/25 13:47:37 0173 1                  44.983265 8.808752 00 00 313832343045303034313137            
27/01/25 13:48:34 0174 1                  44.983465 8.808813 00 00 313831323045303139333234            
27/01/25 13:49:06 0175 1                  44.983530 8.808755 00 00 313832343045303034333539            
27/01/25 13:49:06 0176 1                  44.983530 8.808755 00 00 313832343045303034333630            
27/01/25 13:50:24 0177 1                  44.983865 8.808997 00 00 3234303234304A3030333635            
27/01/25 13:51:35 0178 1                  44.984087 8.808937 00 00 31383033304D303034353335            
27/01/25 14:26:03 0000 s 01491ver01 44.982410 8.811687 00 00
27/01/25 14:26:10 0000 s 01491ver01 44.982410 8.811687 00 00
27/01/25 15:31:52 0000 s 01491ver01 44.882362 8.860323 00 00
27/01/25 15:31:56 0000 s 01491ver01 44.882362 8.860323 00 00
