27/06/25 05:41:37 0000 s 02540ver01 44.696245 8.685457 cc 01
27/06/25 09:43:10 0127 1                  44.770098 8.701402 cc 01 31383132304a303133373936            
27/06/25 09:43:19 0128 1                  44.770110 8.701392 cc 01 31383132304a303134303133            
27/06/25 09:53:22 0129 1                  44.769587 8.696743 cc 01 31383132304a303133353932            
27/06/25 09:54:48 0130 1                  44.768690 8.697685 cc 01 31383132304a303132323730            
27/06/25 09:55:08 0131 1                  44.768705 8.697697 cc 01 111080000000000680817295            
27/06/25 10:08:53 0132 1                  44.767050 8.706360 cc 01 30340c05bc58a77e5ca66806            
27/06/25 10:11:58 0133 1                  44.767023 8.706783 cc 01 2f383132304a303132363538            
27/06/25 10:17:04 0134 1                  44.767570 8.706225 cc 01 31383132304a303133363634            
27/06/25 10:27:46 0000 s 02540ver01 44.769007 8.704355 cc 01
27/06/25 10:30:50 0135 1                  44.769655 8.708570 cc 01 31383132304a303133383034            
27/06/25 10:56:35 0136 1                  44.774632 8.719768 cc 01 323031313030433030353830            
