01/03/25 05:39:33 0000 s 01485ver01 44.882273 8.859962 00 00
01/03/25 06:42:53 0126 1                  44.979792 8.890073 00 00 3234303032334D3030353239            
01/03/25 06:42:59 0127 1                  44.979803 8.890080 00 00 3232303032334D3030373535            
01/03/25 06:43:02 0128 1                  44.979808 8.890083 00 00 323030323545303032323935            
01/03/25 06:43:07 0129 1                  44.979812 8.890085 00 00 323030323545303033383138            
01/03/25 06:43:13 0130 1                  44.979818 8.890085 00 00 323030323545303033383330            
01/03/25 06:45:52 0131 1                  44.978168 8.893225 00 00 323030323545303033303034            
01/03/25 06:45:56 0132 1                  44.978173 8.893225 00 00 323030323545303032393534            
01/03/25 06:47:47 0133 1                  44.976805 8.893565 00 00 323030323545303032313737            
01/03/25 06:48:21 0134 1                  44.976950 8.893652 00 00 323030323545303033303830            
01/03/25 06:48:24 0135 1                  44.976942 8.893663 00 00 323030323545303030353239            
01/03/25 06:48:24 0136 1                  44.976942 8.893663 00 00 323030323545303032343131            
01/03/25 06:48:28 0137 1                  44.976928 8.893678 00 00 323030323545303033303739            
01/03/25 06:48:39 0138 1                  44.976913 8.893702 00 00 323030323545303032373935            
01/03/25 06:49:07 0139 1                  44.977102 8.893730 00 00 323030323545303035393738            
01/03/25 06:49:27 0140 1                  44.977545 8.893793 00 00 323030323545303036363937            
01/03/25 06:51:09 0141 1                  44.977348 8.894820 00 00 323030323545303035383939            
01/03/25 06:55:15 0142 1                  44.977823 8.910305 00 00 323031323055303030323536            
01/03/25 06:57:44 0143 1                  44.977865 8.906798 00 00 3231303234304A3034323236            
01/03/25 07:03:14 0144 1                  44.978937 8.892750 00 00 323030323545303036363332            
01/03/25 07:04:52 0145 1                  44.978603 8.890873 00 00 323030323545303032393132            
01/03/25 07:06:07 0146 1                  44.978908 8.888968 00 00 323030323545303035373932            
01/03/25 07:07:18 0147 1                  44.979023 8.887950 00 00 323030323545303036363830            
01/03/25 07:07:59 0148 1                  44.979205 8.887032 00 00 323030323545303032393737            
01/03/25 07:08:35 0149 1                  44.979420 8.886767 00 00 323030323545303032393736            
01/03/25 07:08:39 0150 1                  44.979423 8.886773 00 00 3234303032334D3030323035            
01/03/25 07:08:42 0151 1                  44.979425 8.886775 00 00 3232303032334D3031313737            
01/03/25 07:08:48 0152 1                  44.979428 8.886780 00 00 3232303032334D3030353236            
01/03/25 07:08:51 0153 1                  44.979432 8.886782 00 00 3234303032334D3030343235            
01/03/25 07:08:57 0154 1                  44.979437 8.886780 00 00 3232303032334D3031353536            
01/03/25 07:09:19 0155 1                  44.979655 8.886847 00 00 323030323545303035373931            
01/03/25 07:09:38 0156 1                  44.979788 8.886862 00 00 323030323545303036363638            
01/03/25 07:10:29 0157 1                  44.979930 8.887292 00 00 323030323545303036343739            
01/03/25 07:11:04 0158 1                  44.980172 8.886917 00 00 323030323545303036313031            
01/03/25 07:11:17 0159 1                  44.980315 8.886958 00 00 323030323545303036313038            
01/03/25 07:11:22 0160 1                  44.980318 8.886962 00 00 3234303032334D3032313934            
01/03/25 07:11:51 0161 1                  44.981103 8.887165 00 00 323030323545303035373632            
01/03/25 07:12:08 0162 1                  44.981292 8.887178 00 00 323030323545303035383930            
01/03/25 07:12:30 0163 1                  44.981627 8.887263 00 00 323030323545303035383034            
01/03/25 07:15:03 0164 1                  44.981832 8.887517 00 00 3234303032334D3032313132            
01/03/25 07:16:16 0165 1                  44.981628 8.887973 00 00 323030323545303036343039            
01/03/25 07:16:32 0166 1                  44.981485 8.887973 00 00 323030323545303036353539            
01/03/25 07:16:50 0167 1                  44.981098 8.887883 00 00 323030323545303032393337            
01/03/25 07:17:22 0168 1                  44.980673 8.888073 00 00 323030323545303035383335            
01/03/25 07:19:21 0169 1                  44.982173 8.893707 00 00 323030323545303037383631            
01/03/25 07:19:25 0170 1                  44.982177 8.893707 00 00 323030323545303036343132            
01/03/25 07:21:07 0171 1                  44.981930 8.886200 00 00 323030323545303036353431            
01/03/25 07:21:11 0172 1                  44.981923 8.886192 00 00 323030323545303036353430            
01/03/25 07:22:26 0173 1                  44.981732 8.885443 00 00 3232303032334D3030333435            
01/03/25 07:22:48 0174 1                  44.981383 8.885390 00 00 323030323545303036363832            
01/03/25 07:23:23 0175 1                  44.980153 8.885145 00 00 323030323545303036353130            
01/03/25 07:23:56 0176 1                  44.979712 8.885417 00 00 323030323545303032333932            
01/03/25 07:24:01 0177 1                  44.979718 8.885463 00 00 323030323545303032333935            
01/03/25 07:24:01 0178 1                  44.979718 8.885463 00 00 323030323545303032333933            
01/03/25 07:24:22 0179 1                  44.979862 8.885527 00 00 323030323545303035383733            
01/03/25 07:24:46 0180 1                  44.980305 8.885295 00 00 323030323545303036363138            
01/03/25 07:25:07 0181 1                  44.980593 8.885307 00 00 323030323545303036363230            
01/03/25 07:25:24 0182 1                  44.980848 8.885425 00 00 3231303032334D3030353838            
01/03/25 07:25:45 0183 1                  44.981243 8.885387 00 00 323030323545303035383633            
01/03/25 07:26:04 0184 1                  44.981465 8.885342 00 00 323030323545303035383735            
01/03/25 07:26:08 0185 1                  44.981482 8.885347 00 00 3231303032334D3035333038            
01/03/25 07:26:53 0186 1                  44.982675 8.885683 00 00 323030323545303037333937            
01/03/25 07:31:19 0187 1                  44.982617 8.885422 00 00 323030323545303036343632            
01/03/25 07:31:41 0188 1                  44.982735 8.885243 00 00 323030323545303033303933            
01/03/25 07:31:46 0189 1                  44.982733 8.885240 00 00 323030323545303032323030            
01/03/25 07:31:49 0190 1                  44.982735 8.885238 00 00 323030323545303032323838            
01/03/25 07:31:51 0191 1                  44.982735 8.885237 00 00 323030323545303033303935            
01/03/25 07:33:20 0192 1                  44.983117 8.884573 00 00 323030323545303036343738            
01/03/25 07:33:20 0193 1                  44.983117 8.884573 00 00 323030323545303030343636            
01/03/25 07:33:41 0194 1                  44.983217 8.884442 00 00 323030323545303036343436            
01/03/25 07:33:59 0195 1                  44.983375 8.884253 00 00 323030323545303033353039            
01/03/25 07:34:04 0196 1                  44.983378 8.884258 00 00 323030323545303036343737            
01/03/25 07:34:07 0197 1                  44.983378 8.884262 00 00 323030323545303033343236            
01/03/25 07:35:26 0198 1                  44.983815 8.883660 00 00 323030323545303036343234            
01/03/25 07:35:53 0199 1                  44.984187 8.883227 00 00 323030323545303036343637            
01/03/25 07:35:54 0200 1                  44.984187 8.883227 00 00 3231303032334D3033393730            
01/03/25 07:36:37 0201 1                  44.985157 8.882415 00 00 323030323545303036353230            
01/03/25 07:36:59 0202 1                  44.985510 8.882292 00 00 3232303032334D3030383936            
01/03/25 07:37:16 0203 1                  44.985793 8.882168 00 00 323030323545303036353232            
01/03/25 07:40:15 0204 1                  44.986433 8.881605 00 00 323032343055303030353234            
01/03/25 07:41:22 0205 1                  44.987227 8.881455 00 00 323030323545303032323839            
01/03/25 07:41:44 0206 1                  44.987600 8.881553 00 00 3232303032334D3030323638            
01/03/25 07:42:05 0207 1                  44.987982 8.881673 00 00 323030323545303036343336            
01/03/25 07:42:47 0208 1                  44.989122 8.881983 00 00 323030323545303036343532            
01/03/25 07:43:26 0209 1                  44.990307 8.882362 00 00 323030323545303038363134            
01/03/25 07:43:50 0210 1                  44.990542 8.882375 00 00 323030323545303032333239            
01/03/25 07:44:26 0211 1                  44.991670 8.882768 00 00 323030323545303038363032            
01/03/25 07:44:32 0212 1                  44.991668 8.882767 00 00 323030323545303033313339            
01/03/25 07:44:53 0213 1                  44.991820 8.882818 00 00 323030323545303032333333            
01/03/25 07:46:37 0214 1                  44.991218 8.882467 00 00 323030323545303036343334            
01/03/25 07:47:46 0215 1                  44.986653 8.880960 00 00 323030323545303036333433            
01/03/25 07:48:28 0216 1                  44.986340 8.879962 00 00 323030323545303032333235            
01/03/25 07:48:31 0217 1                  44.986340 8.879958 00 00 323030323545303036343238            
01/03/25 07:48:50 0218 1                  44.986207 8.879868 00 00 323030323545303032333232            
01/03/25 07:48:50 0219 1                  44.986207 8.879868 00 00 323030323545303032333231            
01/03/25 07:49:16 0220 1                  44.986037 8.879798 00 00 323030323545303033313337            
01/03/25 07:49:24 0221 1                  44.985992 8.879755 00 00 323030323545303033313338            
01/03/25 07:49:44 0222 1                  44.985795 8.879542 00 00 323030323545303033313230            
01/03/25 07:50:00 0223 1                  44.985640 8.879430 00 00 323030323545303039303330            
01/03/25 07:50:19 0224 1                  44.985435 8.879255 00 00 323030323545303033313331            
01/03/25 07:50:52 0225 1                  44.984897 8.878832 00 00 323030323545303032313639            
01/03/25 07:50:53 0226 1                  44.984897 8.878832 00 00 323030323545303032323539            
01/03/25 07:51:14 0227 1                  44.984612 8.878585 00 00 323030323545303033313036            
01/03/25 07:51:14 0228 1                  44.984612 8.878585 00 00 323030323545303033313039            
01/03/25 07:51:27 0229 1                  44.984643 8.878560 00 00 323030323545303033313037            
01/03/25 07:51:50 0230 1                  44.984703 8.878223 00 00 3231303032334D3030343139            
01/03/25 07:52:05 0231 1                  44.984770 8.878082 00 00 323030323545303032313333            
01/03/25 07:52:20 0232 1                  44.984875 8.878100 00 00 243315233009650002010000            
01/03/25 07:52:43 0233 1                  44.985120 8.878273 00 00 323030323545303033383033            
01/03/25 07:53:01 0234 1                  44.985250 8.878378 00 00 323030323545303033313537            
01/03/25 07:53:02 0235 1                  44.985250 8.878378 00 00 323030323545303032323939            
01/03/25 07:53:41 0236 1                  44.985523 8.878590 00 00 323030323545303036343939            
01/03/25 07:54:04 0237 1                  44.985817 8.878838 00 00 323030323545303036343932            
01/03/25 07:54:18 0238 1                  44.985917 8.878920 00 00 323030323545303036343931            
01/03/25 07:54:27 0239 1                  44.985935 8.878935 00 00 323030323545303036353734            
01/03/25 07:54:38 0240 1                  44.986018 8.879028 00 00 323030323545303036343439            
01/03/25 07:54:53 0241 1                  44.986098 8.879107 00 00 323030323545303033383333            
01/03/25 07:55:08 0242 1                  44.986293 8.879252 00 00 323030323545303036353438            
01/03/25 07:55:20 0243 1                  44.986372 8.879305 00 00 323030323545303036343530            
01/03/25 07:55:44 0244 1                  44.986475 8.879388 00 00 323030323545303036353437            
01/03/25 07:56:14 0245 1                  44.986578 8.879468 00 00 323030323545303036343433            
01/03/25 07:57:00 0246 1                  44.986410 8.880713 00 00 323030323545303033313736            
01/03/25 07:57:06 0247 1                  44.986413 8.880717 00 00 3231303032334D3031323639            
01/03/25 07:58:26 0248 1                  44.984465 8.878373 00 00 323030323545303032323432            
01/03/25 07:59:40 0249 1                  44.984533 8.877433 00 00 323030323545303032313637            
01/03/25 07:59:49 0250 1                  44.984553 8.877415 00 00 323030323545303032323531            
01/03/25 08:00:06 0251 1                  44.984513 8.877558 00 00 323030323545303032323237            
01/03/25 08:00:26 0252 1                  44.984438 8.877872 00 00 323030323545303032323235            
01/03/25 08:00:33 0253 1                  44.984387 8.877923 00 00 323030323545303037383439            
01/03/25 08:00:58 0254 1                  44.984128 8.878168 00 00 323030323545303036343038            
01/03/25 08:01:21 0255 1                  44.983863 8.877943 00 00 323030323545303032323632            
01/03/25 08:01:49 0256 1                  44.983572 8.877640 00 00 323030323545303032323236            
01/03/25 08:02:16 0257 1                  44.983387 8.877412 00 00 31383032334D303136353236            
01/03/25 08:03:07 0258 1                  44.982617 8.876308 00 00 3232303032334D3030393233            
01/03/25 08:03:11 0259 1                  44.982617 8.876302 00 00 3232303032334D3030353937            
01/03/25 08:03:13 0260 1                  44.982613 8.876300 00 00 323030323545303030353337            
01/03/25 08:03:16 0261 1                  44.982610 8.876300 00 00 3231303032334D3030393032            
01/03/25 08:49:25 0000 s 01485ver01 44.982360 8.874920 00 00
01/03/25 08:49:58 0262 1                  44.982397 8.874767 00 00 3231303234304A3032373533            
01/03/25 08:51:28 0263 1                  44.979638 8.876190 00 00 323030323545303030323038            
01/03/25 08:51:36 0264 1                  44.979637 8.876190 00 00 3233303032334D3030383839            
01/03/25 08:51:54 0265 1                  44.979515 8.876472 00 00 323030323545303036313635            
01/03/25 08:52:12 0266 1                  44.979443 8.876650 00 00 3234303032334D3030353832            
01/03/25 08:52:41 0267 1                  44.979675 8.877107 00 00 3232303032334D3030393531            
