08/08/25 04:59:38 0000 s 02027ver01 44.752995 8.812312 xx 01
08/08/25 12:25:23 0109 1                  44.761963 8.800316 uu 01 31383032334d303135383830            
08/08/25 12:25:58 0110 1                  44.761963 8.800316 uu 01 3231303032334d3031393336            
08/08/25 12:26:05 0111 1                  44.761963 8.800316 uu 01 3234303032334d3031313433            
08/08/25 12:26:12 0112 1                  44.761963 8.800316 uu 01 323030323545303033333637            
08/08/25 13:06:38 0000 s 02027ver01 44.762418 8.782328 uu 01
08/08/25 13:12:58 0113 1                  44.763655 8.799008 uu 01 31383032334d303135363735            
08/08/25 13:13:00 0114 1                  44.763655 8.799008 uu 01 31383032334d303135363638            
08/08/25 13:13:12 0115 1                  44.763655 8.799016 uu 01 31383032334d303135363731            
08/08/25 13:13:15 0116 1                  44.763655 8.799016 uu 01 3234303032334d3032313536            
08/08/25 13:14:24 0117 1                  44.763775 8.799025 uu 01 31383032334d303034383735            
08/08/25 13:14:38 0118 1                  44.763661 8.800230 uu 01 31383032334d303034383734            
08/08/25 13:15:15 0119 1                  44.763641 8.800231 uu 01 323030323545303034383634            
08/08/25 13:17:08 0120 1                  44.763713 8.800653 uu 01 3231303032334d3033393437            
08/08/25 13:17:29 0121 1                  44.764180 8.800420 uu 01 3234303032334d3030343631            
08/08/25 13:17:38 0122 1                  44.764180 8.800420 uu 01 323030323545303033323237            
08/08/25 13:18:08 0123 1                  44.764180 8.800420 uu 01 3232303032334d3031383332            
08/08/25 13:18:13 0124 1                  44.764180 8.800420 uu 01 3232303032334d3031393333            
08/08/25 13:18:51 0125 1                  44.764180 8.800420 uu 01 3234303032334d3030373938            
08/08/25 13:19:39 0126 1                  44.764415 8.799485 uu 01 323032343055303030303638            
08/08/25 13:20:53 0127 1                  44.763973 8.799955 uu 01 31383032334d303135373036            
08/08/25 13:21:51 0128 1                  44.763935 8.800993 uu 01 323031323055303030313639            
08/08/25 13:23:21 0129 1                  44.763253 8.801145 uu 01 31383032334d303135393834            
08/08/25 13:24:08 0130 1                  44.762663 8.801976 uu 01 3231303032334d3034343239            
08/08/25 13:24:14 0131 1                  44.762663 8.801976 uu 01 3233303032334d3030343133            
08/08/25 13:24:39 0132 1                  44.763301 8.801886 uu 01 323030323545303034393334            
08/08/25 13:24:41 0133 1                  44.763301 8.801886 uu 01 323030323545303035363034            
08/08/25 13:24:54 0134 1                  44.763301 8.801886 uu 01 323030323545303035303032            
08/08/25 13:25:20 0135 1                  44.763301 8.801886 uu 01 31383032334d303034383036            
08/08/25 13:25:27 0136 1                  44.763301 8.801886 uu 01 323030323545303033383038            
08/08/25 13:25:37 0137 1                  44.763301 8.801886 uu 01 31383032334d303035303637            
08/08/25 13:26:15 0138 1                  44.763383 8.801171 uu 01 3233303032334d3030363931            
08/08/25 13:26:17 0139 1                  44.763383 8.801171 uu 01 31383032334d303034383836            
08/08/25 13:27:05 0140 1                  44.763696 8.801146 uu 01 31383032334d303135363836            
08/08/25 13:27:40 0141 1                  44.763696 8.801146 uu 01 323030323545303031323136            
08/08/25 13:28:07 0142 1                  44.763696 8.801146 uu 01 31383032334d303034383831            
08/08/25 13:28:35 0143 1                  44.764340 8.800943 uu 01 323030323545303035303336            
08/08/25 13:29:12 0144 1                  44.764676 8.800770 uu 01 3234303032334d3030363432            
08/08/25 13:29:45 0145 1                  44.764750 8.800650 uu 01 31383032334d303034383438            
08/08/25 13:30:13 0146 1                  44.764818 8.800573 uu 01 31383032334d303135373936            
08/08/25 13:30:15 0147 1                  44.764818 8.800573 uu 01 31383032334d303135363130            
08/08/25 13:30:25 0148 1                  44.764818 8.800573 uu 01 3232303032334d3030383333            
08/08/25 13:30:30 0149 1                  44.764818 8.800573 uu 01 323030323545303035303630            
08/08/25 13:30:58 0150 1                  44.764818 8.800573 uu 01 31383032334d303035313135            
08/08/25 13:32:59 0151 1                  44.764240 8.801718 uu 01 323032343055303030323234            
08/08/25 13:33:48 0152 1                  44.764240 8.801718 uu 01 323032343055303030323035            
08/08/25 13:35:17 0153 1                  44.764256 8.801708 uu 01 31383032334d303135363835            
08/08/25 14:00:46 0154 1                  44.763726 8.803011 uu 01 31383032334d303135373037            
08/08/25 14:01:14 0155 1                  44.764340 8.803120 uu 01 31383032334d303135393136            
08/08/25 14:02:27 0156 1                  44.764181 8.804400 uu 01 3234303032334d3031323633            
08/08/25 14:02:53 0157 1                  44.764181 8.804400 uu 01 31383032334d303135363838            
08/08/25 14:03:29 0158 1                  44.764181 8.804400 uu 01 31383032334d303135373230            
08/08/25 14:03:36 0159 1                  44.764181 8.804400 uu 01 3234303032334d3030363934            
08/08/25 14:04:21 0160 1                  44.764100 8.805128 uu 01 323030323545303035393634            
08/08/25 14:05:20 0161 1                  44.764475 8.805318 uu 01 3233303032334d3030393434            
08/08/25 14:05:22 0162 1                  44.764475 8.805318 uu 01 3232303032334d3030303138            
08/08/25 14:05:57 0163 1                  44.764658 8.805161 uu 01 31383032334d303035313331            
08/08/25 14:06:55 0164 1                  44.764646 8.805120 uu 01 31383032334d303035313332            
08/08/25 14:07:30 0165 1                  44.764403 8.804535 uu 01 31383032334d303034383636            
08/08/25 14:07:48 0166 1                  44.764403 8.804535 uu 01 31383032334d303034383637            
08/08/25 14:08:34 0167 1                  44.764551 8.803703 uu 01 323030323545303035373531            
08/08/25 14:08:46 0168 1                  44.764551 8.803703 uu 01 323030323545303033383536            
08/08/25 14:09:51 0169 1                  44.764698 8.803631 uu 01 31383032334d303035303030            
08/08/25 14:10:06 0170 1                  44.764698 8.803631 uu 01 3234303032334d3031313635            
08/08/25 14:11:03 0171 1                  44.765496 8.804061 uu 01 3234303032334d3030313436            
08/08/25 14:11:35 0172 1                  44.765636 8.803525 uu 01 31383032334d303035303634            
08/08/25 14:11:44 0173 1                  44.765636 8.803525 uu 01 31383032334d303034383035            
08/08/25 14:12:15 0174 1                  44.765636 8.803525 uu 01 3234303234304a3030363936            
08/08/25 14:12:16 0175 1                  44.765636 8.803525 uu 01 323032343055303030303734            
08/08/25 14:14:08 0176 1                  44.765806 8.803463 uu 01 323030323545303036333536            
08/08/25 14:14:18 0177 1                  44.765806 8.803463 uu 01 323030323545303036333335            
08/08/25 14:14:51 0178 1                  44.765816 8.803175 uu 01 31383032334d303035313531            
08/08/25 14:14:59 0179 1                  44.765816 8.803175 uu 01 3231303032334d3031343232            
08/08/25 14:15:02 0180 1                  44.765816 8.803175 uu 01 3234303032334d3032343030            
